Rk,Player,Age,Team,Pos,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
138,Josh Okogie,21,MIN,SG,62,28,25.0,2.7,6.4,.427,0.7,2.5,.266,2.1,3.9,.529,.479,2.5,3.1,.796,1.4,2.9,4.3,1.6,1.1,0.4,1.4,2.2,8.6,,okogijo01
139,D.J. Augustin,32,ORL,PG,57,13,24.9,3.2,8.1,.399,1.2,3.5,.348,2.0,4.6,.438,.475,2.8,3.2,.890,0.4,1.8,2.1,4.6,0.6,0.0,1.5,1.3,10.5,,augusdj01
140,Kris Dunn,25,CHI,PG,51,32,24.9,3.0,6.7,.444,0.6,2.2,.259,2.4,4.5,.535,.487,0.8,1.1,.741,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,7.3,,dunnkr01
141,Thaddeus Young,31,CHI,PF,64,16,24.9,4.2,9.4,.448,1.2,3.5,.356,3.0,5.9,.501,.513,0.7,1.1,.583,1.5,3.5,4.9,1.8,1.4,0.4,1.6,2.1,10.3,,youngth01
142,Kent Bazemore,30,2TM,SF,68,21,24.8,2.9,7.9,.375,1.2,3.6,.344,1.7,4.3,.400,.453,1.7,2.2,.769,0.4,3.9,4.3,1.4,1.1,0.6,1.3,2.9,8.8,,bazemke01
143,Jeff Teague,31,2TM,PG,59,17,24.8,3.6,8.3,.436,0.7,2.0,.368,2.9,6.3,.457,.480,2.9,3.3,.873,0.5,1.9,2.4,5.2,0.7,0.3,2.0,1.8,10.9,,teaguje01
144,Danny Green,32,LAL,SG,68,68,24.8,2.9,7.0,.416,1.8,4.8,.367,1.1,2.2,.524,.542,0.5,0.7,.688,0.8,2.6,3.3,1.3,1.3,0.5,0.9,2.0,8.0,,greenda02
145,Dario Šarić,25,PHO,PF,66,51,24.7,3.9,8.2,.476,1.3,3.6,.357,2.6,4.6,.568,.554,1.6,1.9,.844,1.5,4.6,6.2,1.9,0.6,0.2,1.3,2.4,10.7,,saricda01
146,Derrick White,25,SAS,SG,68,20,24.7,3.7,8.1,.458,1.2,3.2,.366,2.6,4.9,.518,.530,2.6,3.1,.853,0.5,2.8,3.3,3.5,0.6,0.9,1.3,2.2,11.3,,whitede01
147,Seth Curry,29,DAL,SG,64,25,24.6,4.4,9.0,.495,2.3,5.0,.452,2.2,4.0,.549,.621,1.3,1.5,.825,0.4,1.8,2.3,1.9,0.6,0.1,1.0,1.8,12.4,,curryse01
148,Aaron Holiday,23,IND,PG,66,33,24.5,3.5,8.5,.414,1.3,3.3,.394,2.2,5.2,.427,.491,1.1,1.3,.851,0.3,2.0,2.4,3.4,0.8,0.2,1.3,1.8,9.5,,holidaa01
149,Cory Joseph,28,SAC,PG,72,26,24.4,2.4,5.7,.415,0.8,2.2,.352,1.6,3.5,.455,.483,0.8,1.0,.857,0.6,2.0,2.6,3.5,0.7,0.3,1.1,1.8,6.4,,josepco01
150,Wesley Matthews,33,MIL,SG,67,67,24.4,2.5,6.3,.396,1.6,4.4,.364,0.9,1.9,.472,.524,0.8,1.0,.765,0.3,2.1,2.5,1.4,0.6,0.1,0.6,1.5,7.4,,matthwe02
151,Derrick Favors,28,NOP,C,51,49,24.4,4.1,6.6,.617,0.0,0.1,.143,4.1,6.5,.627,.618,0.8,1.4,.563,3.2,6.6,9.8,1.6,0.6,0.9,1.1,2.1,9.0,,favorde01
152,Daniel Theis,27,BOS,C,65,64,24.1,3.7,6.6,.566,0.5,1.5,.333,3.2,5.1,.633,.603,1.3,1.8,.763,2.2,4.4,6.6,1.7,0.6,1.3,0.8,3.4,9.2,,theisda01
153,Jordan Clarkson,27,2TM,SG,71,2,24.0,5.5,12.2,.454,2.1,5.8,.368,3.4,6.4,.533,.542,1.9,2.3,.836,0.7,1.9,2.6,1.9,0.6,0.2,1.4,1.5,15.2,,clarkjo01
154,Shabazz Napier,28,2TM,PG,56,32,24.0,3.4,8.1,.412,1.4,4.3,.317,2.0,3.9,.519,.496,2.3,2.7,.824,0.5,2.4,2.8,4.7,1.2,0.2,2.3,1.8,10.3,,napiesh01
155,Jarrett Culver,20,MIN,SG,63,35,23.9,3.7,9.0,.404,1.0,3.5,.299,2.6,5.5,.471,.462,0.9,1.9,.462,1.1,2.3,3.4,1.7,0.9,0.6,1.3,2.0,9.2,,culveja01
156,Austin Rivers,27,HOU,SG,68,4,23.4,3.1,7.4,.421,1.4,4.0,.356,1.7,3.4,.498,.517,1.1,1.6,.703,0.4,2.2,2.6,1.7,0.7,0.1,0.7,1.9,8.8,,riverau01
157,Derrick Jones Jr.,22,MIA,SF,59,16,23.3,3.1,5.9,.527,0.6,2.2,.280,2.5,3.7,.677,.580,1.6,2.1,.772,1.1,2.8,3.9,1.1,1.0,0.6,0.5,2.2,8.5,,jonesde02
158,Kevin Porter Jr.,19,CLE,SF,50,3,23.2,3.7,8.4,.442,1.1,3.2,.335,2.7,5.3,.506,.505,1.5,2.0,.723,0.4,2.8,3.2,2.2,0.9,0.3,1.9,2.7,10.0,,porteke02
159,Mitchell Robinson,21,NYK,C,61,7,23.1,4.1,5.6,.742,0.0,0.0,,4.1,5.6,.742,.742,1.4,2.4,.568,3.0,4.0,7.0,0.6,0.9,2.0,0.6,3.2,9.7,,robinmi01
160,Cody Zeller,27,CHO,C,58,39,23.1,4.3,8.3,.524,0.3,1.3,.240,4.0,7.0,.577,.543,2.1,3.1,.682,2.8,4.3,7.1,1.5,0.7,0.4,1.3,2.4,11.1,,zelleco01
161,Donte DiVincenzo,23,MIL,SG,66,24,23.0,3.5,7.7,.455,1.3,3.7,.336,2.3,4.0,.567,.536,1.0,1.3,.733,1.0,3.8,4.8,2.3,1.3,0.3,1.4,1.7,9.2,,divindo01
162,Maurice Harkless,26,2TM,PF,62,48,23.0,2.3,4.6,.502,0.5,1.6,.347,1.7,3.0,.584,.562,0.6,1.1,.591,0.9,3.0,3.9,1.1,0.9,0.5,0.9,2.4,5.8,,harklma01
163,Ben McLemore,26,HOU,SF,71,23,22.8,3.4,7.7,.444,2.5,6.4,.400,0.9,1.3,.656,.610,0.7,0.9,.746,0.3,1.9,2.2,0.8,0.6,0.2,0.7,2.2,10.1,,mclembe01
164,Svi Mykhailiuk,22,DET,SF,56,27,22.6,3.0,7.2,.410,2.1,5.1,.404,0.9,2.1,.425,.552,1.0,1.3,.814,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9.0,,mykhasv01
165,Patty Mills,31,SAS,PG,66,1,22.5,3.9,9.1,.431,2.3,6.1,.382,1.6,3.0,.533,.560,1.5,1.7,.866,0.3,1.3,1.6,1.8,0.8,0.1,0.8,1.6,11.6,,millspa02
166,Terrance Ferguson,21,OKC,SF,56,38,22.4,1.4,3.9,.355,0.9,3.0,.292,0.5,0.9,.558,.466,0.3,0.4,.750,0.4,0.9,1.3,0.9,0.5,0.3,0.6,2.8,3.9,,fergute01
167,Brandon Clarke,23,MEM,PF,58,4,22.4,5.1,8.3,.618,0.4,1.1,.359,4.7,7.2,.658,.642,1.5,1.9,.759,1.6,4.4,5.9,1.4,0.6,0.8,0.9,1.7,12.1,ROY-4,clarkbr01
168,Monte Morris,24,DEN,PG,73,12,22.4,3.6,7.8,.459,0.9,2.4,.378,2.7,5.4,.495,.517,1.0,1.2,.843,0.3,1.5,1.9,3.5,0.8,0.2,0.7,1.0,9.0,,morrimo01
169,Jordan Poole,20,GSW,SG,57,14,22.4,2.9,8.8,.333,1.3,4.6,.279,1.6,4.2,.392,.406,1.7,2.1,.798,0.2,1.9,2.1,2.4,0.6,0.2,1.3,1.6,8.8,,poolejo01
170,DeAndre Jordan,31,BRK,C,56,6,22.0,3.4,5.1,.666,0.0,0.0,,3.4,5.1,.666,.666,1.5,2.2,.680,2.5,7.5,10.0,1.9,0.3,0.9,1.3,2.0,8.3,,jordade01
171,Cameron Johnson,23,PHO,PF,57,9,22.0,3.1,7.1,.435,1.9,4.8,.390,1.2,2.3,.526,.565,0.8,1.0,.807,0.9,2.4,3.3,1.2,0.6,0.4,0.6,1.5,8.8,,johnsca02
172,Malik Beasley,23,2TM,SG,55,14,22.0,4.1,9.7,.425,1.9,5.0,.388,2.2,4.7,.465,.525,1.0,1.2,.818,0.3,2.4,2.7,1.4,0.7,0.1,1.0,1.4,11.2,,beaslma01
173,Gary Trent Jr.,21,POR,SF,61,8,21.8,3.2,7.2,.444,1.8,4.4,.418,1.4,2.8,.486,.571,0.6,0.7,.822,0.4,1.2,1.6,1.0,0.8,0.3,0.3,1.5,8.9,,trentga02
174,Rudy Gay,33,SAS,PF,67,5,21.8,4.0,8.9,.446,1.1,3.3,.336,2.9,5.6,.511,.508,1.8,2.0,.882,0.9,4.5,5.4,1.7,0.5,0.5,1.3,1.5,10.8,,gayru01
175,Furkan Korkmaz,22,PHI,SG,72,12,21.7,3.4,7.8,.430,2.0,4.9,.402,1.4,2.9,.478,.557,1.1,1.4,.755,0.3,2.1,2.3,1.1,0.6,0.2,0.8,1.4,9.8,,korkmfu01
176,George Hill,33,MIL,PG,59,2,21.5,3.3,6.4,.516,1.4,3.0,.460,1.9,3.4,.565,.624,1.4,1.7,.842,0.8,2.2,3.0,3.1,0.8,0.1,1.0,1.4,9.4,6MOY-4,hillge01
177,Delon Wright,27,DAL,PG,73,5,21.5,2.6,5.6,.462,0.6,1.7,.370,2.0,3.9,.504,.519,1.1,1.4,.770,1.0,2.9,3.8,3.3,1.2,0.3,1.0,1.3,6.9,,wrighde01
178,Christian Wood,24,DET,PF,62,12,21.4,4.6,8.2,.567,0.9,2.3,.386,3.8,5.9,.636,.620,2.9,3.9,.744,1.7,4.6,6.3,1.0,0.5,0.9,1.4,1.6,13.1,6MOY-4,woodch01
179,Malik Monk,21,CHO,SG,55,1,21.3,3.9,8.9,.434,1.1,3.7,.284,2.8,5.2,.542,.494,1.5,1.8,.820,0.5,2.4,2.9,2.1,0.5,0.3,1.4,1.3,10.3,,monkma01
180,Bobby Portis,24,NYK,PF,66,5,21.1,4.0,8.9,.450,1.0,2.8,.358,3.0,6.1,.493,.507,1.1,1.4,.763,1.2,3.9,5.1,1.5,0.5,0.3,1.1,1.7,10.1,,portibo01
181,Frank Ntilikina,21,NYK,PG,57,26,20.8,2.3,5.8,.393,0.8,2.4,.321,1.5,3.4,.444,.459,0.9,1.0,.864,0.4,1.7,2.1,3.0,0.9,0.3,1.2,2.5,6.3,,ntilila01
182,JaMychal Green,29,LAC,PF,63,1,20.7,2.4,5.6,.429,1.5,3.8,.387,0.9,1.8,.518,.560,0.6,0.8,.750,1.2,4.9,6.2,0.8,0.5,0.4,0.9,2.8,6.8,,greenja01
183,Anfernee Simons,20,POR,SG,70,4,20.7,3.1,7.7,.399,1.1,3.2,.332,2.0,4.4,.448,.469,1.1,1.3,.826,0.4,1.8,2.2,1.4,0.4,0.1,0.9,1.9,8.3,,simonan01
184,Markieff Morris,30,2TM,PF,58,17,20.5,3.5,7.9,.443,1.5,3.9,.386,2.0,4.0,.500,.539,1.1,1.5,.776,0.7,3.1,3.8,1.3,0.5,0.3,1.3,2.3,9.7,,morrima02
185,Willie Cauley-Stein,26,2TM,C,54,39,20.3,3.2,5.6,.579,0.0,0.0,.000,3.2,5.6,.581,.579,0.7,1.2,.606,1.6,4.3,5.8,1.3,0.9,1.1,0.7,2.2,7.2,,caulewi01
186,Marquese Chriss,22,GSW,PF,59,21,20.3,3.6,6.5,.545,0.1,0.7,.205,3.4,5.9,.584,.556,2.0,2.6,.769,1.9,4.3,6.2,1.9,0.7,1.1,1.3,2.1,9.3,,chrisma01
187,Trey Lyles,24,SAS,PF,63,53,20.2,2.4,5.4,.446,1.0,2.7,.387,1.4,2.8,.503,.541,0.5,0.7,.733,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,6.4,,lylestr01
188,Doug McDermott,28,IND,PF,69,0,19.9,3.9,7.9,.488,1.9,4.3,.435,2.0,3.7,.549,.605,0.7,0.8,.828,0.4,2.1,2.5,1.1,0.2,0.1,0.6,1.7,10.3,,mcderdo01
189,Kyle Anderson,26,MEM,SF,67,28,19.9,2.3,4.9,.474,0.4,1.3,.282,2.0,3.7,.541,.511,0.8,1.2,.667,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7,5.8,,anderky01
190,Matisse Thybulle,22,PHI,SG,65,14,19.8,1.7,4.1,.423,0.9,2.4,.357,0.9,1.7,.519,.528,0.4,0.6,.610,0.7,1.0,1.6,1.2,1.4,0.7,0.8,2.2,4.7,,thybuma01
191,Marvin Williams,33,2TM,PF,58,1,19.5,2.1,4.6,.446,1.0,2.7,.359,1.1,1.9,.568,.551,0.8,1.0,.860,0.5,2.6,3.2,1.0,0.6,0.5,0.6,1.8,5.9,,willima02
192,De'Anthony Melton,21,MEM,PG,60,8,19.5,2.7,6.7,.401,0.7,2.3,.286,2.0,4.4,.464,.451,1.6,2.0,.769,0.7,3.0,3.7,2.9,1.3,0.3,1.4,1.8,7.6,,meltode01
193,Bismack Biyombo,27,CHO,C,53,29,19.4,2.8,5.2,.543,0.0,0.0,,2.8,5.2,.543,.543,1.7,2.8,.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4,,biyombi01
194,Kelly Olynyk,28,MIA,C,67,9,19.4,2.7,5.9,.462,1.4,3.5,.406,1.3,2.4,.543,.582,1.3,1.5,.860,0.7,3.9,4.6,1.7,0.7,0.3,1.1,2.6,8.2,,olynyke01
195,Brad Wanamaker,30,BOS,PG,71,1,19.3,2.3,5.1,.448,0.5,1.4,.363,1.8,3.7,.481,.499,1.8,1.9,.926,0.3,1.7,2.0,2.5,0.9,0.2,1.1,1.9,6.9,,wanambr01
196,Tyus Jones,23,MEM,PG,65,6,19.0,3.0,6.6,.459,0.7,1.9,.379,2.3,4.7,.492,.514,0.7,0.9,.741,0.1,1.4,1.6,4.4,0.9,0.1,0.8,0.7,7.4,,jonesty01
197,Isaac Bonga,20,WAS,SF,66,49,18.9,1.8,3.5,.504,0.4,1.1,.352,1.4,2.5,.571,.558,1.0,1.3,.812,1.1,2.3,3.4,1.2,0.7,0.3,0.9,2.4,5.0,,bongais01
198,Dwight Howard,34,LAL,C,69,2,18.9,2.9,4.0,.729,0.0,0.1,.600,2.9,3.9,.732,.735,1.6,3.1,.514,2.5,4.9,7.3,0.7,0.4,1.1,1.2,3.2,7.5,6MOY-9,howardw01
199,Cody Martin,24,CHO,SF,48,3,18.8,1.9,4.3,.430,0.4,1.6,.234,1.5,2.7,.546,.473,0.9,1.4,.646,0.8,2.5,3.3,2.0,0.8,0.2,0.9,1.6,5.0,,martico01
200,Rondae Hollis-Jefferson,25,TOR,PF,60,6,18.7,2.6,5.5,.471,0.1,0.4,.130,2.5,5.1,.497,.476,1.8,2.4,.734,1.8,2.9,4.7,1.8,0.8,0.4,1.0,1.9,7.0,,holliro01
201,T.J. McConnell,27,IND,PG,71,3,18.7,3.0,5.8,.516,0.1,0.2,.294,2.9,5.5,.525,.522,0.5,0.6,.833,0.5,2.1,2.7,5.0,0.8,0.2,1.4,1.0,6.5,,mccontj01
202,Pat Connaughton,27,MIL,SG,67,4,18.6,2.0,4.5,.455,0.8,2.5,.331,1.2,2.0,.607,.547,0.5,0.6,.775,0.9,3.3,4.2,1.6,0.4,0.5,0.8,1.0,5.4,,connapa01
203,Darius Bazley,19,OKC,PF,61,9,18.5,2.0,5.2,.394,0.8,2.3,.348,1.2,2.9,.432,.472,0.7,1.0,.694,0.5,3.5,4.0,0.7,0.4,0.7,0.7,0.9,5.6,,bazleda01
204,Torrey Craig,29,DEN,SF,58,27,18.5,2.1,4.6,.461,0.8,2.4,.326,1.4,2.3,.603,.545,0.4,0.6,.611,1.1,2.2,3.3,0.8,0.4,0.6,0.4,2.3,5.4,,craigto01
205,Nerlens Noel,25,OKC,C,61,7,18.5,3.0,4.4,.684,0.0,0.0,.333,3.0,4.4,.688,.686,1.3,1.7,.755,1.5,3.4,4.9,0.9,1.0,1.5,1.1,2.7,7.4,,noelne01
206,Solomon Hill,28,2TM,PF,59,4,18.4,1.9,4.7,.396,1.1,2.9,.368,0.8,1.8,.439,.509,0.7,0.9,.741,0.5,2.3,2.8,1.8,0.7,0.2,0.9,1.4,5.5,,hillso01
207,Ivica Zubac,22,LAC,C,72,70,18.4,3.3,5.3,.613,0.0,0.0,.000,3.3,5.3,.616,.613,1.7,2.3,.747,2.7,4.8,7.5,1.1,0.2,0.9,0.8,2.3,8.3,,zubaciv01
208,Alex Caruso,25,LAL,PG,64,2,18.4,1.9,4.5,.412,0.6,1.9,.333,1.3,2.7,.468,.481,1.1,1.5,.734,0.3,1.7,1.9,1.9,1.1,0.3,0.8,1.5,5.5,,carusal01
209,James Ennis III,29,2TM,SG,69,18,18.3,2.3,5.2,.446,0.8,2.4,.325,1.5,2.8,.553,.522,1.1,1.4,.806,1.0,2.5,3.6,0.9,0.5,0.3,0.8,2.0,6.6,,ennisja01
210,Wes Iwundu,25,ORL,SF,52,21,18.3,1.9,4.5,.416,0.5,1.6,.341,1.3,2.9,.457,.476,1.5,1.9,.804,0.5,2.1,2.5,1.2,0.5,0.3,0.5,1.5,5.8,,iwundwe01
211,E'Twaun Moore,30,NOP,SG,56,6,18.2,3.3,7.8,.426,1.1,3.0,.377,2.2,4.8,.456,.498,0.6,0.8,.689,0.6,1.8,2.3,1.4,0.6,0.2,0.7,1.4,8.3,,mooreet01
212,Omari Spellman,22,GSW,C,49,3,18.1,2.6,6.0,.431,0.9,2.2,.391,1.7,3.8,.454,.503,1.5,1.9,.793,1.6,2.9,4.5,1.0,0.7,0.5,1.1,1.3,7.6,,spellom01
213,Kevin Knox,20,NYK,SF,65,4,17.9,2.2,6.2,.359,1.0,3.1,.327,1.2,3.1,.391,.440,1.0,1.6,.653,0.4,2.4,2.8,0.9,0.4,0.4,0.7,1.6,6.4,,knoxke01
214,Jalen Brunson,23,DAL,PG,57,16,17.9,3.2,6.8,.466,0.8,2.1,.358,2.4,4.7,.515,.522,1.1,1.3,.813,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2,,brunsja01
215,Mike Scott,31,PHI,PF,68,11,17.8,2.2,5.1,.426,1.2,3.2,.369,1.0,2.0,.519,.540,0.4,0.5,.811,1.0,2.7,3.6,0.8,0.3,0.1,0.4,1.4,6.0,,scottmi01
216,Jakob Poeltl,24,SAS,C,66,18,17.7,2.5,4.0,.624,0.0,0.0,,2.5,4.0,.624,.624,0.6,1.3,.465,2.0,3.7,5.7,1.8,0.6,1.4,0.8,1.9,5.6,,poeltja01
217,Alex Len,26,2TM,C,55,12,17.6,3.2,5.8,.555,0.3,1.1,.271,2.9,4.7,.619,.580,1.2,1.9,.648,1.8,4.0,5.8,0.9,0.4,0.9,1.0,2.3,8.0,,lenal01
218,Damyean Dotson,25,NYK,SG,48,0,17.4,2.5,6.0,.414,1.2,3.4,.362,1.3,2.6,.480,.516,0.5,0.7,.667,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7,,dotsoda01
219,Gorgui Dieng,30,2TM,C,63,17,17.4,2.6,5.8,.456,0.9,2.4,.355,1.8,3.4,.528,.530,1.2,1.6,.772,1.4,4.2,5.6,1.2,0.8,0.9,1.0,2.0,7.4,,dienggo01
220,Nicolò Melli,29,NOP,C,60,8,17.4,2.3,5.4,.421,1.2,3.4,.335,1.1,2.0,.573,.528,0.9,1.2,.740,0.6,2.4,3.0,1.4,0.6,0.4,0.8,2.1,6.6,,mellini01
221,Mason Plumlee,29,DEN,C,61,1,17.3,2.9,4.7,.615,0.0,0.1,.000,2.9,4.6,.625,.615,1.4,2.5,.535,1.6,3.6,5.2,2.5,0.5,0.6,1.3,2.3,7.2,,plumlma01
222,Enes Freedom,27,BOS,C,58,7,16.9,3.4,6.0,.572,0.0,0.1,.143,3.4,5.9,.581,.573,1.2,1.7,.707,2.8,4.6,7.4,1.0,0.4,0.7,1.0,1.7,8.1,,kanteen01
223,Treveon Graham,26,2TM,SF,55,20,16.9,1.6,4.4,.360,0.6,2.2,.275,1.0,2.2,.443,.428,0.7,1.0,.643,0.9,1.8,2.7,0.8,0.4,0.1,0.5,1.9,4.4,,grahatr01
224,Jaxson Hayes,19,NOP,C,64,14,16.9,2.7,4.0,.672,0.0,0.1,.250,2.7,4.0,.678,.674,1.9,3.0,.647,1.5,2.5,4.0,0.9,0.4,0.9,0.8,2.5,7.4,,hayesja02
225,Terence Davis,22,TOR,SG,72,4,16.8,2.8,6.1,.456,1.3,3.4,.388,1.5,2.7,.541,.564,0.7,0.8,.864,0.7,2.6,3.3,1.6,0.5,0.2,1.1,1.7,7.5,ROY-6,daviste02
226,JaVale McGee,32,LAL,C,68,68,16.6,2.9,4.5,.637,0.0,0.1,.500,2.8,4.4,.640,.642,0.8,1.2,.646,1.8,3.9,5.7,0.5,0.5,1.4,0.8,2.3,6.6,,mcgeeja01
227,Kyle Korver,38,MIL,SF,58,1,16.6,2.2,5.1,.430,1.7,4.1,.418,0.5,1.0,.482,.599,0.6,0.7,.854,0.3,1.8,2.1,1.2,0.4,0.2,0.8,1.3,6.7,,korveky01
228,Taj Gibson,34,NYK,C,62,56,16.5,2.7,4.6,.584,0.1,0.2,.286,2.6,4.4,.599,.591,0.7,0.9,.732,1.8,2.5,4.3,0.8,0.4,0.5,0.8,2.0,6.1,,gibsota01
229,Mario Hezonja,24,POR,PF,53,4,16.4,1.7,4.1,.422,0.5,1.5,.308,1.3,2.6,.486,.477,0.9,1.1,.814,0.6,2.9,3.5,0.9,0.7,0.2,0.8,2.0,4.8,,hezonma01
230,Michael Porter Jr.,21,DEN,SF,55,8,16.4,3.5,7.0,.509,1.1,2.7,.422,2.4,4.3,.564,.590,1.1,1.3,.833,1.2,3.5,4.7,0.8,0.5,0.5,0.9,1.8,9.3,,portemi01
231,Jevon Carter,24,PHO,PG,58,2,16.3,1.7,4.2,.416,1.1,2.5,.425,0.7,1.7,.402,.543,0.4,0.5,.852,0.5,1.5,2.0,1.4,0.8,0.3,0.6,1.5,4.9,,carteje01
232,Lonnie Walker IV,21,SAS,SG,61,12,16.2,2.5,5.9,.426,0.7,1.7,.406,1.8,4.2,.434,.483,0.7,1.0,.721,0.4,1.9,2.3,1.1,0.5,0.2,0.7,1.3,6.4,,walkelo01
233,Damian Jones,24,ATL,C,55,27,16.1,2.2,3.2,.680,0.0,0.2,.222,2.2,3.1,.704,.685,1.1,1.5,.738,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,5.6,,jonesda03
234,Justin Jackson,24,DAL,PF,65,3,16.1,2.1,5.2,.396,0.7,2.5,.294,1.3,2.7,.489,.466,0.6,0.8,.840,0.4,2.0,2.4,0.8,0.2,0.2,0.2,1.1,5.5,,jacksju01
235,Ryan Arcidiacono,25,CHI,PG,58,4,16.0,1.6,3.8,.409,0.9,2.4,.391,0.6,1.4,.439,.532,0.5,0.7,.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5,,arcidry01
236,Anthony Tolliver,34,3TM,PF,55,13,15.9,1.2,3.3,.357,0.9,2.6,.338,0.3,0.7,.432,.492,0.4,0.5,.724,0.6,2.2,2.8,0.8,0.3,0.2,0.6,1.3,3.6,,tollian01
237,Abdel Nader,26,OKC,SF,55,6,15.8,2.2,4.8,.468,0.9,2.3,.375,1.4,2.5,.556,.559,0.9,1.2,.773,0.3,1.6,1.8,0.7,0.4,0.4,0.8,1.4,6.3,,naderab01
238,Emmanuel Mudiay,23,UTA,PG,54,2,15.7,2.8,6.1,.462,0.6,1.6,.345,2.2,4.4,.504,.508,1.2,1.5,.759,0.3,2.0,2.3,2.1,0.4,0.2,1.4,1.3,7.3,,mudiaem01
239,Ersan İlyasova,32,MIL,PF,63,8,15.7,2.3,5.0,.466,0.8,2.2,.365,1.5,2.8,.545,.546,1.1,1.4,.828,1.0,3.8,4.8,0.8,0.4,0.3,0.5,1.5,6.6,,ilyaser01
240,Rodney McGruder,28,LAC,SG,56,4,15.6,1.3,3.2,.398,0.4,1.6,.270,0.9,1.6,.522,.464,0.3,0.6,.559,0.5,2.2,2.7,0.6,0.5,0.1,0.4,1.3,3.3,,mcgruro01
241,Jerome Robinson,22,2TM,SG,63,6,15.5,1.8,4.9,.371,0.8,2.4,.320,1.0,2.5,.420,.450,0.6,0.9,.702,0.2,1.8,2.0,1.4,0.4,0.3,0.8,1.8,5.1,,robinje01
242,Marco Belinelli,33,SAS,SG,57,0,15.5,2.2,5.5,.392,1.2,3.1,.376,1.0,2.4,.412,.498,0.8,1.0,.828,0.1,1.6,1.7,1.2,0.2,0.0,0.3,0.8,6.3,,belinma01
243,Grant Williams,21,BOS,PF,69,5,15.1,1.3,3.1,.412,0.3,1.4,.250,0.9,1.7,.548,.469,0.6,0.8,.722,0.9,1.7,2.6,1.0,0.4,0.5,0.7,2.4,3.4,,willigr01
244,Sterling Brown,24,MIL,SF,52,1,14.8,1.8,4.9,.371,0.8,2.6,.324,1.0,2.3,.425,.457,0.6,0.8,.800,0.6,2.9,3.5,1.0,0.6,0.1,0.8,1.0,5.1,,brownst02
245,Semi Ojeleye,25,BOS,PF,69,6,14.7,1.2,2.8,.408,0.7,1.8,.378,0.5,1.0,.464,.531,0.4,0.5,.875,0.4,1.7,2.1,0.5,0.3,0.1,0.3,1.2,3.4,,ojelese01
246,Vince Carter,43,ATL,PF,60,0,14.6,1.8,5.1,.352,1.0,3.4,.302,0.8,1.7,.451,.452,0.4,0.5,.793,0.3,1.8,2.1,0.8,0.4,0.4,0.6,1.5,5.0,,cartevi01
247,Robin Lopez,31,MIL,C,66,5,14.5,2.2,4.5,.492,0.5,1.6,.333,1.7,2.9,.577,.550,0.4,0.8,.528,0.8,1.6,2.4,0.7,0.2,0.7,1.0,1.5,5.4,,lopezro01
248,Matthew Dellavedova,29,CLE,PG,57,4,14.4,1.1,3.1,.354,0.4,1.6,.231,0.7,1.5,.488,.414,0.6,0.6,.865,0.3,1.0,1.3,3.2,0.4,0.0,1.0,1.4,3.1,,dellama01
249,Mo Bamba,21,ORL,C,62,0,14.2,2.1,4.6,.462,0.6,1.7,.346,1.5,2.9,.531,.526,0.5,0.7,.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4,,bambamo01
250,Georges Niang,26,UTA,PF,66,1,14.0,2.1,4.9,.438,1.4,3.4,.400,0.8,1.5,.526,.578,0.3,0.4,.833,0.2,1.7,1.9,0.7,0.3,0.1,0.5,1.1,5.9,,niangge01
251,Frank Jackson,21,NOP,PG,59,2,13.5,2.3,5.6,.405,0.8,2.4,.326,1.5,3.2,.465,.476,0.9,1.3,.747,0.4,1.0,1.4,1.0,0.3,0.1,0.8,1.3,6.3,,jacksfr01
252,Chris Boucher,27,TOR,C,62,0,13.2,2.3,4.8,.472,0.6,1.9,.322,1.7,2.9,.569,.535,1.5,1.9,.784,1.7,2.7,4.5,0.4,0.4,1.0,0.5,1.8,6.6,,bouchch01
253,Patrick Patterson,30,LAC,PF,59,18,13.2,1.6,3.9,.408,1.1,2.9,.390,0.5,1.0,.459,.552,0.6,0.7,.814,0.6,2.0,2.6,0.7,0.1,0.1,0.4,0.9,4.9,,pattepa01
254,Elie Okobo,22,PHO,PG,55,3,13.1,1.3,3.3,.398,0.5,1.3,.352,0.9,2.0,.427,.467,0.9,1.3,.704,0.3,1.3,1.6,2.1,0.4,0.1,0.7,1.0,4.0,,okoboel01
255,Thon Maker,22,DET,C,60,14,12.9,1.6,3.2,.482,0.4,1.1,.344,1.2,2.2,.550,.539,1.2,1.8,.664,0.9,1.9,2.8,0.7,0.4,0.7,0.8,1.7,4.7,,makerth01
